route_id,service_id,trip_id,trip_departure_time,trip_arrival_time,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
ACOS,entresemana,hacia_sanluis_entresemana_19:00:00,19:00:00,20:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_19:30:00,19:30:00,20:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_20:30:00,20:30:00,21:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,entresemana,hacia_sanluis_entresemana_22:30:00,22:30:00,23:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_04:20:00,04:20:00,5:40:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_04:35:00,04:35:00,5:55:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_05:30:00,05:30:00,6:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_06:30:00,06:30:00,7:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_07:30:00,07:30:00,8:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_09:30:00,09:30:00,10:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_11:30:00,11:30:00,12:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_acosta_sabado_12:05:00,12:05:00,13:25:00,San José,,0,desde_acosta,1,2
ACOS,sabado,desde_sanluis_sabado_13:30:00,13:30:00,14:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_acosta_sabado_14:30:00,14:30:00,15:50:00,San José,,0,desde_acosta,1,2
ACOS,sabado,desde_sanluis_sabado_16:00:00,16:00:00,17:20:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_18:30:00,18:30:00,19:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,desde_sanluis_sabado_20:30:00,20:30:00,21:50:00,San José,,0,desde_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_05:50:00,05:50:00,7:10:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_06:30:00,06:30:00,7:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_08:30:00,08:30:00,9:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_10:30:00,10:30:00,11:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_12:00:00,12:00:00,13:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_12:30:00,12:30:00,13:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_13:00:00,13:00:00,14:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_14:30:00,14:30:00,15:50:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_15:00:00,15:00:00,16:20:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_16:15:00,16:15:00,17:35:00,San Luis,,1,hacia_sanluis,1,2
ACOS,sabado,hacia_sanluis_sabado_17:15:00,17:15:00,18:35:00,San Luis,,1,hacia_sanluis,1,2
